,name,latitude,longitude,price,hostStart,propType
185,"OCEANFRONT APT., PRIVATE LANAI !!!",20.79739,-156.50439,160.00,2011-11-17,Apartment
186,Dragon's Nest en suite bathroom Pool/Sauna/Jacuzzi,19.70712,-155.98595,89.00,2011-11-15,Guesthouse
187,Fig Heaven Bungalow Oceanview  Pool/Jacuzzi/Sauna,19.70639,-155.98518,59.00,2011-11-15,Guesthouse
188,Beautiful Aina Nalu  ~ Premier 1/1 A26 - 166,20.873639999999998,-156.67401999999998,199.00,2011-09-06,Condominium
189,"Maile, Restored Plantation House",19.20187,-155.47732,250.00,2011-11-23,House
190,Market House,19.19918,-155.47829,250.00,2011-11-23,House
191,Paniolo Cabin,19.20165,-155.47673999999998,295.00,2011-11-23,House
192,Pahala Plantation House,19.20008,-155.47566,850.00,2011-11-23,Villa
193,Pu'u Koa Palms One Bedroom Apartment (52B),20.928079999999998,-156.31846000000002,110.00,2011-11-29,Apartment
194,Kealakekua Bay Bali Cottage -steps from Bay,19.46996,-155.91992,175.00,2011-12-05,Guesthouse
195,Kahuna Banyanview Pool/Sauna/Jacuzzi Private Bath,19.706210000000002,-155.98515,69.00,2011-11-15,Farm stay
196,Kamaole Beach Royale Aloha Suite,20.72168,-156.44423,117.00,2010-08-21,Apartment
197,Beautiful Panoramic Ocean View Estate,21.412689999999998,-157.76673,995.00,2011-12-08,Villa
198,Tropical Garden Maui Escape Retreat,20.7195,-156.33792,301.00,2011-12-08,House
199,"Ohia Mauka, Restored Plantation House",19.20351,-155.47793000000001,175.00,2011-11-23,House
200,"Hapu`u Cottage, Restored Plantation House",19.20145,-155.47794,99.00,2011-11-23,House
201,Enchanting & Almost Oceanfront in Kona!,19.572789999999998,-155.96524,99.00,2011-12-18,Townhouse
202,1BR Hawaiian Ocean Retreat,19.601779999999998,-154.9449,170.00,2011-12-25,Apartment
203,Ocean Vista Suite Private Lanai Pool/Sauna/Jacuzzi,19.70761,-155.9864,109.00,2011-11-15,Guest suite
204,Maliko Retreat,20.87023,-156.31505,300.00,2011-12-29,Farm stay
205,19A | Rustic small private room | shared apartment,21.30116,-157.84251,50.00,2011-06-08,Apartment
206,"Kihei Maui Studio Condo, King Bed, from 60 *1",20.76503,-156.45823000000001,105.00,2012-01-04,Condominium
207,Turtles Nest,19.5719,-154.94638,75.00,2011-05-19,House
